Date,A.13,B.13,C.13,D.13,A.6,B.6,C.6,D.6
12/13/17,1,1,1,1,NA,NA,NA,NA
12/20/17,1,0.996941896,0.99702381,0.996987952,NA,NA,NA,NA
12/26/17,1,0.993883792,0.994047619,0.993975904,NA,NA,NA,NA
1/2/18,0.997109827,0.990825688,0.991071429,0.993975904,NA,NA,NA,NA
1/3/18,0.997109827,0.981651376,0.991071429,0.993975904,NA,NA,NA,NA
1/16/18,0.99132948,0.978593272,0.985119048,0.984939759,NA,NA,NA,NA
1/23/18,1,1,1,1,1,1,1,1
2/5/18,0.994152047,0.993710692,0.993902439,0.975460123,0.994152047,0.993710692,0.993902439,0.975460123
2/9/18,0.994152047,0.987421384,0.993902439,0.975460123,0.98245614,0.993710692,0.981707317,0.975460123
2/12/18,NA,NA,NA,NA,0.976608187,0.993710692,0.981707317,0.975460123
2/14/18,0.988304094,0.987421384,0.981707317,0.963190184,0.970760234,0.987421384,0.963414634,0.963190184
2/15/18,NA,NA,NA,NA,0.964912281,0.987421384,0.951219512,0.950920245
2/16/18,NA,NA,NA,NA,0.964912281,0.987421384,0.945121951,0.944785276
2/19/18,NA,NA,NA,NA,0.964912281,0.987421384,0.914634146,0.938650307
2/21/18,0.98245614,0.981132075,0.975609756,0.963190184,0.953216374,0.981132075,0.896341463,0.938650307
2/22/18,NA,NA,NA,NA,0.947368421,0.981132075,0.896341463,0.938650307
2/23/18,NA,NA,NA,NA,0.947368421,0.981132075,0.890243902,0.932515337
2/27/18,0.98245614,0.974842767,0.969512195,0.944785276,NA,NA,NA,NA
2/28/18,NA,NA,NA,NA,0.947368421,0.974842767,0.890243902,0.932515337
3/7/18,NA,NA,NA,NA,0.947368421,0.974842767,0.884146341,0.932515337
3/9/18,0.98245614,0.974842767,0.969512195,0.938650307,0.947368421,0.974842767,0.884146341,0.926380368
3/12/18,NA,NA,NA,NA,0.941520468,0.974842767,0.884146341,0.926380368
3/13/18,0.976608187,0.974842767,0.951219512,0.914110429,NA,NA,NA,NA
3/23/18,0.824561404,0.911949686,0.682926829,0.858895706,NA,NA,NA,NA
3/25/18,0.807017544,0.905660377,0.640243902,0.852760736,NA,NA,NA,NA
3/27/18,0.783625731,0.899371069,0.603658537,0.852760736,0.918128655,0.968553459,0.865853659,0.926380368
3/30/18,0.760233918,0.893081761,0.579268293,0.846625767,NA,NA,NA,NA
4/1/18,NA,NA,NA,NA,0.918128655,0.968553459,0.865853659,0.920245399
4/3/18,0.736842105,0.880503145,0.554878049,0.846625767,NA,NA,NA,NA
4/8/18,0.730994152,0.880503145,0.542682927,0.846625767,NA,NA,NA,NA
4/14/18,0.725146199,0.874213836,0.536585366,0.846625767,NA,NA,NA,NA
4/17/18,0.713450292,0.874213836,0.536585366,0.840490798,NA,NA,NA,NA
4/22/18,0.713450292,0.86163522,0.524390244,0.840490798,NA,NA,NA,NA
4/27/18,0.713450292,0.849056604,0.524390244,0.834355828,NA,NA,NA,NA
