Timestamp,"OA Monitor - A1 - Temperature (°C)","OA Monitor - A2 - Temperature (°C)","OA Monitor - B1 - Temperature (°C)","OA Monitor - B2 - Temperature (°C)","OA Monitor - C1 - Temperature (°C)","OA Monitor - C2 - Temperature (°C)","OA Monitor - D1 - Temperature (°C)","OA Monitor - D2 - Temperature (°C)"
"2017-11-30 08:56:48",14.12,14.37," "," ",13.97,14.68," "," "
"2017-11-30 09:56:51",14.12,14.37," "," ",14.03,14.75," "," "
"2017-11-30 10:56:55",14.06,14.31," "," ",13.97,14.68," "," "
"2017-11-30 11:56:59",14.06,14.31," "," ",14.03,14.75," "," "
"2017-11-30 12:57:02",14.06,14.31," "," ",14.03,14.75," "," "
"2017-11-30 13:57:06",13.93,14.25," "," ",13.91,14.62," "," "
"2017-11-30 14:26:50",13.93,14.25," "," ",13.91,14.62," "," "
"2017-11-30 15:26:53",14,14.25," "," ",13.97,14.75," "," "
"2017-11-30 16:26:58",13.93,14.25," "," ",13.85,14.62," "," "
"2017-11-30 16:53:20",13.93,14.25," "," ",13.91,14.68," "," "
"2017-11-30 17:53:25",13.12,13.56," "," ",14.1,14.62," "," "
"2017-11-30 18:53:28",12.81,13.43," "," ",13.78,14.56," "," "
"2017-11-30 19:53:33",13.06,13.75," "," ",13.78,14.56," "," "
"2017-11-30 20:53:35",13.43,13.93," "," ",13.91,14.68," "," "
"2017-11-30 21:53:40",13.18,13.87," "," ",13.78,14.56," "," "
"2017-11-30 22:34:28",13.37,13.93," "," ",13.91,14.75," "," "
"2017-11-30 23:34:31",13.62,14.18," "," ",14.1,14.87," "," "
"2017-12-01 00:34:34",13.68,14.12," "," ",14.1,14.81," "," "
"2017-12-01 01:34:42",12.81,13.56," "," ",13.6,14.56," "," "
"2017-12-01 02:34:41",13.5,13.87," "," ",13.78,14.43," "," "
"2017-12-01 03:34:45",13.87,14.18," "," ",14.03,14.68," "," "
"2017-12-01 04:34:48",13.87,14.12," "," ",13.91,14.62," "," "
"2017-12-01 04:41:30",13.87,14.18," "," ",13.97,14.62," "," "
"2017-12-01 05:34:56",14,14.25," "," ",14.1,14.81," "," "
"2017-12-01 06:35:00",13.93,14.25," "," ",14.03,14.62," "," "
"2017-12-01 07:35:03",14,14.25," "," ",14.03,14.81," "," "
"2017-12-01 08:35:06",13.87,14.18," "," ",13.97,14.68," "," "
"2017-12-01 09:35:10",13.93,14.18," "," ",14.03,14.81," "," "
"2017-12-01 10:35:14",13.93,14.18," "," ",13.91,14.62," "," "
