"Plot Title: Clam-Bay-Beach"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137186, SEN S/N: 20137186)","Intensity, lum/ft² (LGR S/N: 20137186, SEN S/N: 20137186)","Host Connected (LGR S/N: 20137186)","Coupler Attached (LGR S/N: 20137186)","Stopped (LGR S/N: 20137186)","End Of File (LGR S/N: 20137186)"
105,06/10/18 12:00:00 AM,11.916,0.0,,,,
106,06/10/18 12:30:00 AM,11.916,0.0,,,,
107,06/10/18 01:00:00 AM,11.819,0.0,,,,
108,06/10/18 01:30:00 AM,11.819,0.0,,,,
109,06/10/18 02:00:00 AM,11.722,0.0,,,,
110,06/10/18 02:30:00 AM,11.625,0.0,,,,
111,06/10/18 03:00:00 AM,11.722,0.0,,,,
112,06/10/18 03:30:00 AM,11.625,0.0,,,,
113,06/10/18 04:00:00 AM,11.528,0.0,,,,
114,06/10/18 04:30:00 AM,11.528,0.0,,,,
115,06/10/18 05:00:00 AM,11.431,0.0,,,,
116,06/10/18 05:30:00 AM,11.431,0.0,,,,
117,06/10/18 06:00:00 AM,11.431,0.0,,,,
118,06/10/18 06:30:00 AM,11.431,0.0,,,,
119,06/10/18 07:00:00 AM,11.528,0.0,,,,
120,06/10/18 07:30:00 AM,11.528,1.0,,,,
121,06/10/18 08:00:00 AM,11.625,2.0,,,,
122,06/10/18 08:30:00 AM,11.722,2.0,,,,
123,06/10/18 09:00:00 AM,11.819,0.0,,,,
124,06/10/18 09:30:00 AM,12.013,0.0,,,,
125,06/10/18 10:00:00 AM,12.110,1.0,,,,
126,06/10/18 10:30:00 AM,12.207,0.0,,,,
127,06/10/18 11:00:00 AM,12.304,5.0,,,,
128,06/10/18 11:30:00 AM,12.401,4.0,,,,
129,06/10/18 12:00:00 PM,12.497,4.0,,,,
130,06/10/18 12:30:00 PM,12.594,4.0,,,,
131,06/10/18 01:00:00 PM,12.787,4.0,,,,
132,06/10/18 01:30:00 PM,12.883,0.0,,,,
133,06/10/18 02:00:00 PM,12.883,0.0,,,,
134,06/10/18 02:30:00 PM,12.787,3.0,,,,
135,06/10/18 03:00:00 PM,12.787,3.0,,,,
136,06/10/18 03:30:00 PM,12.690,2.0,,,,
137,06/10/18 04:00:00 PM,12.690,0.0,,,,
138,06/10/18 04:30:00 PM,12.594,0.0,,,,
139,06/10/18 05:00:00 PM,12.497,0.0,,,,
140,06/10/18 05:30:00 PM,12.401,0.0,,,,
141,06/10/18 06:00:00 PM,12.304,0.0,,,,
142,06/10/18 06:30:00 PM,12.110,0.0,,,,
143,06/10/18 07:00:00 PM,12.110,0.0,,,,
144,06/10/18 07:30:00 PM,12.013,0.0,,,,
145,06/10/18 08:00:00 PM,12.013,0.0,,,,
146,06/10/18 08:30:00 PM,12.013,0.0,,,,
147,06/10/18 09:00:00 PM,12.013,0.0,,,,
148,06/10/18 09:30:00 PM,12.013,0.0,,,,
149,06/10/18 10:00:00 PM,11.916,0.0,,,,
